Titulo,Relator,Data de publicação,Data de julgamento,Órgão julgador,Ementa
ADI 4451,ALEXANDRE DE MORAES,06/03/19,21/06/18,Tribunal Pleno,"LIBERDADE DE EXPRESSÃO E PLURALISMO DE IDEIAS. VALORES ESTRUTURANTES DO SISTEMA DEMOCRÁTICO. INCONSTITUCIONALIDADE DE DISPOSITIVOS NORMATIVOS QUE ESTABELECEM PREVIA INGERÊNCIA ESTATAL NO DIREITO DE CRITICAR DURANTE O PROCESSO ELEITORAL. PROTEÇÃO CONSTITUCIONAL AS MANIFESTAÇÕES DE OPINIÕES DOS MEIOS DE COMUNICAÇÃO E A LIBERDADE DE CRIAÇÃO HUMORISTICA.     1. A Democracia não existirá e a livre participação política não florescerá onde a liberdade de expressão for ceifada, pois esta constitui condição essencial ao pluralismo de ideias, que por sua vez é um valor estruturante para o salutar funcionamento do sistema democrático.    2. A livre discussão, a ampla participação política e o princípio democrático estão interligados com a liberdade de expressão, tendo por objeto não somente a proteção de pensamentos e ideias, mas também opiniões, crenças, realização de juízo de valor e críticas a agentes públicos, no sentido de garantir a real participação dos cidadãos na vida coletiva.    3. São inconstitucionais os dispositivos legais que tenham a nítida finalidade de controlar ou mesmo aniquilar a força do pensamento crítico, indispensável ao regime democrático. Impossibilidade de restrição, subordinação ou forçosa adequação programática da liberdade de expressão a mandamentos normativos cerceadores durante o período eleitoral.    4. Tanto a liberdade de expressão quanto a participação política em uma Democracia representativa somente se fortalecem em um ambiente de total visibilidade e possibilidade de exposição crítica das mais variadas opiniões sobre os governantes.     5. O direito fundamental à liberdade de expressão não se direciona somente a proteger as opiniões supostamente verdadeiras, admiráveis ou convencionais, mas também aquelas que são duvidosas, exageradas, condenáveis, satíricas, humorísticas, bem como as não compartilhadas pelas maiorias. Ressalte-se que, mesmo as declarações errôneas, estão sob a guarda dessa garantia constitucional.     6. Ação procedente para declarar a inconstitucionalidade dos incisos II e III (na parte impugnada) do artigo 45 da Lei 9.504/1997, bem como, por arrastamento, dos parágrafos 4º e 5º do referido artigo."
Rcl 65017 AgR,DIAS TOFFOLI,28/08/24,12/08/24,Segunda Turma,"EMENTA: AGRAVO REGIMENTAL NA RECLAMAÇÃO. ADPF 130. ADERÊNCIA ESTRITA. CONHECIMENTO DA  RECLAMAÇÃO. LIBERDADE DE EXPRESSÃO. LIMITAÇÃO. AUSÊNCIA DE FUNDAMENTAÇÃO MINUDENTE DA EXCEPCIONALIDADE. AGRAVO REGIMENTAL. PROVIMENTO.  RECLAMAÇÃO  JULGADA PROCEDENTE.    1. O Supremo Tribunal Federal tem estendido o alcance da decisão proferida no julgamento da ADPF 130 para sublinhar que em qualquer situação de censura, ainda que não propriamente prévia, é possível conhecer da reclamação, de modo que essa extensão para outros casos não necessariamente previstos pelo paradigma justifica-se em razão da persistente vulneração desse direito na cultura brasileira, inclusive por via judicial.     2. A jurisprudência que se cristaliza a partir do precedente da ADPF nº 130 exige que o controle e a limitação da liberdade de expressão operem a posteriori, devendo o Poder Judiciário justificar, de forma adequada, necessária e proporcional, pontual, temporária e excepcional restrição que a liberdade de expressão venha a ter.     3. Vulnera o julgamento da ADPF 130 o ato judicial que afasta o exercício da liberdade de expressão sem o minudente cotejo analítico exigido por precedentes desta Corte.     4. Agravo regimental provido. Reclamação julgada procedente."
Rcl 68437 AgR,LUIZ FUX,19/08/24,07/08/24,Primeira Turma,"EMENTA: AGRAVO REGIMENTAL NA RECLAMAÇÃO. CONSTITUCIONAL. DIREITO À LIBERDADE DE EXPRESSÃO, INFORMAÇÃO E IMPRENSA. DECISÃO RECLAMADA QUE CONDENOU VEÍCULO DE IMPRENSA AO PAGAMENTO DE INDENIZAÇÃO POR DANOS MORAIS POR RECONHECER ABUSO DE DIREITO E PRÁTICA DE ATO ILÍCITO. ALEGADA VIOLAÇÃO À AUTORIDADE DA DECISÃO DESTE STF NA ADPF 130. CONCLUSÃO JUDICIAL FIRMADA APÓS O CONTRADITÓRIO NA INSTÂNCIA DE ORIGEM, QUE, PARA SER REVISTA, DEMANDARIA REVOLVIMENTO FÁTICO-PROBATÓRIO, INVIÁVEL EM SEDE DE RECLAMAÇÃO. INSTRUMENTO, ADEMAIS, QUE NÃO CABE SER UTILIZADO COMO SUCEDÂNEO RECURSAL. DECISÃO RECLAMADA, AINDA, QUE NÃO DETERMINOU REMOÇÃO DE CONTEÚDO JORNALÍSTICO. RECLAMAÇÃO A QUE SE NEGOU SEGUIMENTO. AGRAVO A QUE SE NEGA PROVIMENTO."
Rcl 45682,ALEXANDRE DE MORAES,08/04/22,14/03/22,Primeira Turma,"Ementa: CONSTITUCIONAL E PROCESSUAL CIVIL. RECLAMAÇÃO. VIOLAÇÃO AO DECIDIDO NA ADPF 130. OCORRÊNCIA. DECISÃO RECLAMADA QUE ESTABELECEU RESTRIÇÃO À LIBERDADE DE EXPRESSÃO. RECLAMAÇÃO PROCEDENTE.    1. O fundamento central da decisão impugnada, para determinar a retirada das matérias jornalísticas nos canais de comunicação, apoiado em mera possibilidade de inocência do beneficiário da decisão, configura-se em evidente obstrução ao trabalho investigativo inerente à imprensa livre, além de caracterizar embaraço ao repasse das informações à opinião pública.    2. Dessa forma, o Juízo impugnado impôs restrição à liberdade da atividade de comunicação, o que é repelido frontalmente pelo texto constitucional.    3. Nessas circunstâncias, em que a decisão reclamada cria óbices à divulgação de informações, sem apresentar razões legítimas para tal conduta, há manifesta restrição à liberdade de expressão no seu aspecto negativo, a revelar, de maneira inequívoca, ofensa à ADPF 130 (Rel. Min. AYRES BRITTO, Pleno, DJe de 6/11/2009).     4. Reclamação julgada procedente."
Rcl 59482 AgR,ALEXANDRE DE MORAES,30/10/23,02/10/23,Primeira Turma,"Ementa: Direito constitucional. Reclamação. Liberdade de expressão e informação. Remoção de conteúdo publicado em meios digitais de notícias.    1.  Agravo interno contra decisão que negou seguimento a reclamação contra decisão que determinou a remoção de matérias jornalísticas publicadas em plataformas digitais e o pagamento de indenização por danos morais.    2.  Hipótese em que os autores da demanda de origem se insurgem contra a publicação de notícia sobre uma festividade, com a participação de autoridades locais, que teria resultado em confusão generalizada, com perturbação do sossego, diversos acionamentos da Polícia Militar, objetos arremessados nas casas vizinhas e discussões acaloradas.    3.  Violação à autoridade do precedente formado na ADPF 130, no qual o Supremo Tribunal Federal ressaltou a excepcionalidade da intervenção estatal na divulgação de notícias e opiniões.    4.  A matéria jornalística está amparada no que consta dos Boletins de Ocorrência lavrados em razão do evento e no que apurado em entrevista com vizinhos. Não se trata, portanto, da divulgação deliberada de informação que se sabe falsa. Pelos mesmos motivos, há que se reconhecer a licitude dos meios empregados na obtenção das informações.    5.  O envolvimento de autoridades públicas impõe uma maior tolerância quanto a matérias de cunho potencialmente lesivo aos direitos da personalidade, diante do interesse público na divulgação da informação.    6.  Agravo interno a que se dá provimento, para julgar procedente o pedido."
Rcl 59337 MC-Ref,EDSON FACHIN,01/06/23,22/05/23,Segunda Turma,EMENTA    RECLAMAÇÃO. DOCUMENTÁRIO RETIRADO DO AR. ADPF 130. ADERÊNCIA ESTRITA. LIBERDADE DE EXPRESSÃO. LIMITAÇÃO. AUSÊNCIA DE FUNDAMENTAÇÃO MINUDENTE DA EXCEPCIONALIDADE. RETIRADA DE CONTEÚDO DO AR SOB COGNIÇÃO SUMÁRIA. LIMINAR DEFERIDA PARA SUSPENDER O ATO RECLAMADO.
Pet 10373 AgR,ALEXANDRE DE MORAES,08/03/23,14/11/22,Tribunal Pleno,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. AGRAVO REGIMENTAL A QUE SE NEGA PROVIMENTO.    1. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    2. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    3. Agravo Regimental desprovido."
Pet 9935 AgR-décimo terceiro,ALEXANDRE DE MORAES,21/03/23,14/11/22,Tribunal Pleno,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA.     AGRAVO REGIMENTAL A QUE SE NEGA PROVIMENTO.    1. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    2. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    3. Agravo Regimental desprovido."
Pet 10373 AgR-quinto,ALEXANDRE DE MORAES,08/03/23,14/11/22,Tribunal Pleno,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. AGRAVO REGIMENTAL A QUE SE NEGA PROVIMENTO.    1. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    2. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    3. Agravo Regimental desprovido."
Rcl 61746 AgR,EDSON FACHIN,07/10/24,19/08/24,Segunda Turma,"EMENTA: RECLAMAÇÃO. PROCEDÊNCIA. VIOLAÇÃO À AUTORIDADE DA DECISÃO PROFERIDA PELO STF NA ADPF 130. DIREITO À LIBERDADE DE EXPRESSÃO. IMPRENSA. ADERÊNCIA ESTRITA. RESPONSABILIDADE CIVIL. DANOS MORAIS. CONTEÚDOS SUPOSTAMENTE OFENSIVOS À IMAGEM  E À HONRA DE PROFISSIONAL DA MEDICINA. RESTRIÇÃO À DIVULGAÇÃO DE CRÍTICA JORNALÍSTICA. REMOÇÃO DE CONTEÚDO. CENSURA. INTERFERÊNCIA DO PODER JUDICIÁRIO NO MÉRITO DA POSTAGEM. IMPOSSIBILIDADE. AGRAVO REGIMENTAL A QUE SE NEGA PROVIMENTO.    I – CASO EM EXAME    1. Ação de indenização e exclusão judicial de conteúdos jornalísticos divulgados por portal de notícias, relativos a depoimentos e denúncias de pacientes sobre fatos ocorridos nas dependências de determinado hospital e descrição de condutas de seus profissionais de medicina.     II – QUESTÃO EM DISCUSSÃO    2. Preliminar: inobservância do art. 988, § 5º, II, parte final, do CPC: “É inadmissível a reclamação: (Redação dada pela Lei nº 13.256, de 2016)  II– proposta para garantir a observância de acórdão de recurso extraordinário com repercussão geral reconhecida ou de acórdão proferido em julgamento de recursos extraordinário ou especial repetitivos, quando não esgotadas as instâncias ordinárias”. Inaplicabilidade no caso em exame.     2.1. Mérito: saber se o ato reclamado ofendeu o decidido na ADPF 130, no que diz respeito à possibilidade de o Poder Judiciário interferir no mérito da postagem, de modo a impedir o direito à liberdade de expressão e ao acesso à informação.     III – RAZÕES DE DECIDIR    3. Da análise das informações trazidas na petição inicial, bem como pelo exame dos documentos acostados aos autos, verifica-se que há aderência estrita entre o ato judicial de constrição e o paradigma apontado pelo reclamante.     Na situação dos autos, a imposição das restrições à divulgação das reportagens jornalísticas que compõem a série “Portal Eu, Rio! destrincha situação da Santa Casa” afronta o decidido no julgamento da ADPF 130 por este Supremo Tribunal Federal, uma vez que não se verifica situação apta a possibilitar a excepcionalíssima intervenção do Poder Judiciário para a remoção de conteúdos veiculados, com o tolhimento da liberdade de expressão e informação da reclamante.     IV – DISPOSITIVO    4. O acórdão reclamado ofendeu à autoridade da decisão proferida na ADPF 130. Reclamação julgada procedente que preencheu os pressupostos de admissibilidade.    5. Agravo regimental a que se nega provimento."
RE 662055 RG,LUÍS ROBERTO BARROSO,03/09/15,27/08/15,Tribunal Pleno,"Ementa: DIREITO CONSTITUCIONAL. RECURSO EXTRAORDINÁRIO. LIBERDADE DE EXPRESSÃO, DIREITOS DOS ANIMAIS E RELEVANTE PREJUÍZO COMERCIAL A EVENTO CULTURAL TRADICIONAL. RESTRIÇÕES A PUBLICAÇÕES E DANOS MORAIS. PRESENÇA DE REPERCUSSÃO GERAL.     1. A decisão recorrida impôs restrições a publicações em sítio eletrônico de entidade de proteção aos animais, que denunciava a crueldade da utilização de animais em rodeios, condenando-a ao pagamento de danos morais e proibindo-a de contactar patrocinadores de um evento específico, tradicional e culturalmente importante.     2. Constitui questão constitucional da maior importância definir os limites da liberdade de expressão em contraposição a outros direitos de igual hierarquia jurídica, como os da inviolabilidade da honra e da imagem, bem como fixar parâmetros para identificar hipóteses em que a publicação deve ser proibida e/ou o declarante condenado ao pagamento de danos morais, ou ainda a outras consequências jurídicas.     3. Repercussão geral reconhecida."
Rcl 62905 MC-Ref,EDSON FACHIN,13/12/23,21/11/23,Segunda Turma,EMENTA    RECLAMAÇÃO. PUBLICAÇÕES EM REDES SOCIAIS. RETIRADA DO AR. ABSTENÇÃO DE NOVAS PUBLICAÇÕES. ADPF 130. ADERÊNCIA ESTRITA. LIBERDADE DE EXPRESSÃO. LIMITAÇÃO. AUSÊNCIA DE FUNDAMENTAÇÃO MINUDENTE DA EXCEPCIONALIDADE. RETIRADA DE CONTEÚDO DO AR SOB COGNIÇÃO  SUMÁRIA. LIMINAR DEFERIDA PARA SUSPENDER O ATO RECLAMADO.
Inq 4923 AgR-sexto,ALEXANDRE DE MORAES,12/09/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Inq 4923 AgR-quarto,ALEXANDRE DE MORAES,12/09/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).    3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Inq 4923 AgR-segundo,ALEXANDRE DE MORAES,12/09/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Rcl 63418 AgR,LUIZ FUX,16/10/24,14/10/24,Primeira Turma,"EMENTA: AGRAVO REGIMENTAL NA RECLAMAÇÃO. CONSTITUCIONAL. DIREITO À LIBERDADE DE EXPRESSÃO, INFORMAÇÃO E IMPRENSA. DECISÃO RECLAMADA QUE DETERMINOU A REMOÇÃO E SUPRESSÃO DE CONTEÚDO VEICULADO EM REDE SOCIAL. ALEGADA VIOLAÇÃO À AUTORIDADE DA DECISÃO DESTE STF NA ADPF 130. OCORRÊNCIA. LIVRE MERCADO DE IDEIAS QUE SE REVELA ESSENCIAL AO DESENVOLVIMENTO DA DIGNIDADE HUMANA E À QUALIDADE DAS DECISÕES POLÍTICAS EM UM AMBIENTE DEMOCRÁTICO. TUTELA DOS DIREITOS DA PERSONALIDADE QUE DEVE SE DAR, COMO REGRA, A POSTERIORI. VEDAÇÃO À CENSURA PRÉVIA. PRECEDENTES DESTE STF QUE ESTENDEM AS CONCLUSÕES DA ADPF 130 ÀS PUBLICAÇÕES COM INTERESSE PÚBLICO VEICULADAS EM REDES SOCIAIS. RECLAMAÇÃO A QUE SE JULGOU PROCEDENTE. AGRAVO A QUE SE NEGA PROVIMENTO."
Rcl 28747 AgR,ALEXANDRE DE MORAES,12/11/18,05/06/18,Primeira Turma,"Ementa: AGRAVO INTERNO NA RECLAMAÇÃO. DIREITO CONSTITUCIONAL. DETERMINAÇÃO DE RETIRADA DE CONTEÚDO DA INTERNET. DECISÃO PROFERIDA EM SEDE DE TUTELA ANTECIPADA. CONFIGURAÇÃO DE CENSURA PRÉVIA. VIOLAÇÃO À ADPF 130. AGRAVO INTERNO PROVIDO.    1. A liberdade de informação e de imprensa são apanágios do Estado Democrático de Direito.     2. O interesse público premente no conteúdo de reportagens e peças jornalísticas reclama tolerância quanto a matérias de cunho supostamente lesivo à honra dos agentes públicos.    3. A medida própria para a reparação do eventual abuso da liberdade de expressão é o direito de resposta e não a supressão liminar de texto jornalístico, antes mesmo de qualquer apreciação mais detida quanto ao seu conteúdo e potencial lesivo.    4. A reclamação tendo como parâmetro a ADPF 130, em casos que versam sobre conflitos entre liberdade de expressão e informação e a tutela de garantias individuais como os direitos da personalidade, é instrumento cabível, na forma da jurisprudência (Precedentes: Rcl 22328, Rel. Min. Roberto Barroso, Primeira Turma, DJe 09/05/2018; Rcl 25.075, Rel. Min. Luiz Fux, DJe 31/03/2017).     5. In casu, não se evidencia que o intento da publicação tenha sido o de ofender a honra de terceiros, mediante veiculação de notícias sabidamente falsas.    6. Agravo interno provido."
Pet 9935 AgR-décimo segundo,ALEXANDRE DE MORAES,21/03/23,14/11/22,Tribunal Pleno,"Ementa: PEDIDOS DE RECONSIDERAÇÃO RECEBIDOS COMO AGRAVO REGIMENTAL. PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. AGRAVO REGIMENTAL A QUE SE NEGA PROVIMENTO.    1. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    2. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    3. Pedido de reconsideração recebidos como Agravos Regimentais, aos quais se nega provimento."
Pet 10373 ED,ALEXANDRE DE MORAES,08/03/23,14/11/22,Tribunal Pleno,"Ementa: EMBARGOS DE DECLARAÇÃO RECEBIDOS COMO AGRAVO REGIMENTAL. PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. AGRAVO REGIMENTAL A QUE SE NEGA PROVIMENTO.    1. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    2. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    3. Embargos de Declaração recebidos como Agravo Regimental, ao qual se nega provimento."
Rcl 62176 MC-Ref,EDSON FACHIN,17/11/23,30/10/23,Segunda Turma,"EMENTA    RECLAMAÇÃO. PUBLICAÇÃO JORNALÍSTICA. DISCURSO DE VIÉS POLÍTICO. ASSUNTO DE INTERESSE PÚBLICO. GESTÃO DA COISA PÚBLICA. COMINAÇÃO DE SANÇÃO PECUNIÁRIA. ADPF 130 E RECLAMAÇÃO 49.432. ADERÊNCIA ESTRITA. LIBERDADE DE EXPRESSÃO. LIMITAÇÃO. EXCEPCIONALIDADE NÃO JUSTIFICADA, IN CASU. FUMUS BONI IURIS E PERICULUM IN MORA PRESENTES. LIMINAR DEFERIDA E REFERENDADA PARA SUSPENDER O ATO RECLAMADO."
ARE 1494121 AgR-segundo,CÁRMEN LÚCIA,28/08/24,26/08/24,Primeira Turma,EMENTA: AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO COM AGRAVO. DIREITO CONSTITUCIONAL E CIVIL. LIBERDADE DE EXPRESSÃO. RESPONSABILIDADE CIVIL. DANO MORAL CONFIGURADO. ARGUMENTOS INSUFICIENTES PARA A MODIFICAÇÃO DO JULGADO. AGRAVO REGIMENTAL DESPROVIDO.
